no	plot	block	date1	date2	date3	replanted	species	mycorrhiza	substrate	soilType	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	diameter1	diameter2	diameter3	height1	height2	height3	bagMassStem	stemMassTotal	bagMassRestleaf	restleafMassTotal	leaf1Mass	leaf2Mass	leaf3Mass	leaf1Area	leaf2Area	leaf3Area	bagMassRestroot	restrootMassTotal	rootLength	bagMassAbsorptivefineroot	absorptivefinerootMassTotal	bagMassTransportfineroot	transportfinerootMassTotal	comment	threshold
14	DY30Anoac	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_1	rich	30	Acid	20.3	18.5	19	12.7	18.2	17.4	14.9	15.7	18.3	95.5	110	112	 9.7   	 70.5   	 9.7   	 38.3   	0.62	0.49	0.36	103.2	80.7	72.0	22.0	163.6	673	3.4230	3.619	3.4230	3.676	na	80
15	DY30Tmyac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_1	rich	30	Acid	19.5	18.8	24.5	13.4	12.6	14.8	13	18.7	21	97.5	106	124	 9.7   	 72.5   	 9.7   	 25.6   	0.15	0.16	0.11	33.2	35.3	28.2	22.0	93.0	452	3.4230	3.497	3.4230	3.492	na	80
16	DY30Tnoac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_1	rich	30	Acid	17.4	15.8	15.5	9.6	7	11.6	18.4	25.7	27.1	75.5	97	107	 9.7   	 116.3   	 9.7   	 33.1   	0.13	0.13	0.10	26.4	26.9	20.8	22.0	127.8	1283	3.4230	3.684	3.4230	3.730	na	80
17	EY30Amyac	E	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_1	rich	30	Acid	22.4	23	23.8	16	12.6	15.4	11.4	12.7	14	87	101	106	 9.7   	 62.3   	 9.7   	 34.5   	0.73	0.55	0.51	115.8	87.8	81.6	22.0	104.8	1107	3.4230	3.782	3.4230	3.587	balls	80
18	EY30Anoac	E	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_1	rich	30	Acid	23.3	24.3	20.8	15.5	13.6	18.3	11.9	17.1	17.4	103.5	128	134	 9.7   	 66.6   	 9.7   	 41.5   	0.60	0.64	0.54	100.1	104.7	88.4	22.0	129.4	891	3.4230	3.619	3.4230	3.618	na	80
19	EY30Tmyac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_1	rich	30	Acid	21.2	15.9	16.8	8.8	13.5	8.5	17.1	22	25.1	91	106	114	 9.7   	 97.2   	 9.7   	 36.3   	0.15	0.17	0.13	31.7	32.0	27.3	22.0	168.6	709	3.4230	3.568	3.4230	4.256	na	80
20	EY30Tnoac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_1	rich	30	Acid	15.7	17.5	14.6	7.9	8.2	11.6	14	22.4	22.5	85.5	95	99	 31.5   	 95.1   	 9.7   	 25.2   	0.15	0.17	0.13	36.5	37.2	29.4	22.0	133.0	1065	3.4230	3.652	3.4230	4.027	balls	80
21	AY5Amyac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_2	rich	5	Acid	20.7	23.6	23.2	17	13.4	17.9	8.5	11.9	12.5	73	87	98	 22.2   	 81.4   	 9.7   	 37.9   	0.39	0.44	0.34	64.5	72.7	62.3	22.0	115.2	609	3.4230	3.565	3.4230	3.496	na	80
22	AY5Anoac	A	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_2	rich	5	Acid	24.5	24.3	17.3	15.8	15.4	13.9	11.6	13.4	14.5	90	104	118	 22.2   	 66.2   	 9.7   	 30.5   	0.69	0.82	0.71	130.3	135.6	131.4	22.0	119.0	1168	3.4230	3.700	3.4230	3.742	turbid_prob	90
23	AY5Tmyac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_2	rich	5	Acid	23.2	27.2	25.2	11	11.6	11.2	10.8	16.2	18.3	81	96	99	 22.2   	 74.6   	 9.7   	 24.3   	0.15	0.12	0.11	34.8	28.4	25.6	22.0	98.8	728	3.4230	3.486	3.4230	3.646	na	80
24	AY5Tnoac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_2	rich	5	Acid	19.7	23	19.5	9	14.9	11.9	17.8	24.9	25	90.5	91	100	 31.5   	 109.4   	 9.7   	 32.8   	0.28	0.25	0.20	48.7	41.5	35.2	22.0	125.8	796	3.4230	3.510	3.4230	3.675	na	80
25	BY5Amyac	B	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_2	rich	5	Acid	24.7	22.1	25.7	8.7	4	7.7	15.9	17.2	17.8	106	143	144	 9.7   	 86.5   	 9.7   	 37.5   	0.38	0.28	0.29	64.4	51.5	55.7	22.0	172.6	na	na	na	na	na	na	na
26	BY5Anoac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_2	rich	5	Acid	27.9	24.7	26.2	21.3	18.8	19.2	10.3	15.5	16.6	88.5	94	109	 9.7   	 88.7   	 9.7   	 46.9   	0.63	0.52	0.39	101.4	82.1	68.6	22.0	170.0	1745	3.4230	3.801	3.4230	3.694	balls	70
27	BY5Tmyac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_2	rich	5	Acid	20.3	26.7	26.9	12.1	12.2	17.6	14.6	23.3	27.7	92	86	90	 9.7   	 65.0   	 9.7   	 25.9   	0.14	0.12	0.11	29.9	28.5	26.3	22.0	124.0	1169	3.4230	3.629	3.4230	3.789	na	80
28	BY5Tnoac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_2	rich	5	Acid	27.3	25.4	24.1	13.2	16.1	20.7	13.8	20.2	20.6	77	95	106	 9.7   	 69.7   	 9.7   	 25.8   	0.32	0.24	0.15	45.3	35.5	25.5	22.0	116.2	1886	3.4230	3.872	3.4230	3.905	balls	80
29	CY5Amyac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_2	rich	5	Acid	18.4	19.6	22.8	16.8	16	14.7	10.7	14.8	15.5	91	166	192	 9.7   	 85.2   	 9.7   	 31.5   	0.90	0.73	0.35	130.3	113.7	52.3	22.0	158.0	1902	3.4230	4.147	3.4230	4.192	balls_prob	60
30	CY5Anoac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_2	rich	5	Acid	22.4	27.6	25.8	10.3	13.1	14.8	7.9	11	13.6	98.5	120	123	 9.7   	 80.3   	 9.7   	 53.0   	0.45	0.38	0.36	68.8	62.3	56.5	22.0	175.8	760	3.4230	3.620	3.4230	3.804	na	80
31	CY5Tmyac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_2	rich	5	Acid	21.4	22.5	24	16.7	14.7	14.6	11.7	19.5	19.9	79	102	115	 9.7   	 76.3   	 9.7   	 29.4   	0.18	0.14	0.12	30.2	27.6	22.6	22.0	125.2	686	3.4230	3.538	3.4230	3.521	na	80
32	CY5Tnoac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_2	rich	5	Acid	21.6	24.2	25.9	9.4	8.9	8.5	15	21.6	22.5	97.5	140	144	 9.7   	 115.5   	 9.7   	 35.2   	0.44	0.35	0.22	72.5	57.9	37.7	22.0	153.2	1997	3.4230	3.773	3.4230	3.933	balls	8060
33	DY5Amyac	D	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_2	rich	5	Acid	20.1	23.3	20.9	8.7	9.9	12	11.6	16.2	16.7	116	159	173	 9.7   	 79.3   	 9.7   	 28.4   	0.58	0.60	0.40	100.6	92.2	66.9	22.0	99.0	1213	3.4230	3.803	3.4230	3.829	na	80
34	DY5Anoac	D	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_2	rich	5	Acid	24.9	20.5	20.3	22.5	22.7	22.5	12.2	13.8	16.7	85	113	121	 9.7   	 58.0   	 9.7   	 29.5   	0.61	0.60	0.48	122.3	120.8	95.2	22.0	97.0	1492	3.4230	4.041	3.4230	3.524	na	80
35	DY5Tmyac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_2	rich	5	Acid	27.3	30.5	32.5	15.1	15.7	15.4	12.3	16.9	20.9	74	88	91	 9.7   	 57.1   	 9.7   	 26.0   	0.20	0.09	0.09	42.2	19.7	20.0	22.0	102.2	490	3.4230	3.543	3.4230	3.744	na	80
36	DY5Tnoac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_2	rich	5	Acid	22.2	16.9	27.3	18.4	16.7	23.8	11	16.7	18.1	81	85	88	 9.7   	 87.8   	 9.7   	 30.1   	0.18	0.14	0.12	37.6	29.8	25.7	22.0	88.8	506	3.4230	3.457	3.4230	3.621	na	80
37	EY5Amyac	E	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_2	rich	5	Acid	26.7	25	19.9	10.7	13	8.7	15.1	19.6	20.8	83	107	143	 31.5   	 109.9   	 9.7   	 37.6   	1.23	0.78	0.58	197.6	143.5	109.5	22.0	132.6	1560	3.4230	3.841	3.4230	3.893	na	80
38	EY5Anoac	E	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_2	rich	5	Acid	26.7	25.6	23.7	17.8	15.8	10.8	11.6	13.8	14.3	93	111	115	 9.7   	 47.8   	 9.7   	 32.8   	0.62	0.57	0.41	111.6	104.8	78.3	22.0	126.0	672	3.4230	3.556	3.4230	3.544	balls_turbid_prob	80
39	EY5Tmyac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_2	rich	5	Acid	26.6	26.1	21.9	11.1	11.8	13.7	11.6	24.1	27.2	83.5	114	125	 31.5   	 119.2   	 9.7   	 32.8   	0.29	0.18	0.21	44.4	34.5	34.5	22.0	133.6	385	3.4230	3.511	3.4230	3.893	na	80
40	EY5Tnoac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_2	rich	5	Acid	19.6	22.7	19.8	19.8	19.7	21.2	12.5	18.6	21.8	70	95	103	 31.5   	 94.4   	 9.7   	 26.6   	0.26	0.27	0.16	50.4	50.7	32.4	22.0	113.8	1375	3.4230	3.627	3.4230	3.774	na	80
41	AZ30Amyac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_4	poor	30	Acid	26.1	20	26.4	6	6.9	8.3	16	18.9	18.2	86	97	103	 22.2   	 102.7   	 9.7   	 43.9   	0.59	0.44	0.45	92.6	74.8	68.2	22.0	206.8	919	3.4230	3.681	3.4230	3.795	na	80
42	AZ30Anoac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_4	poor	30	Acid	15.8	19.9	17.8	8.7	9.9	8.6	16.4	19.2	19.2	60	64	66	 31.5   	 61.1   	 9.7   	 28.9   	0.44	0.50	0.46	81.6	92.0	84.4	22.0	97.8	1031	3.4230	3.792	3.4230	4.467	na	80
43	AZ30Tmyac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_4	poor	30	Acid	20.8	20.2	18.9	7.9	6.4	7.5	18.4	23.2	24.5	83	83	86	 22.2   	 106.9   	 9.7   	 27.7   	0.16	0.15	0.12	37.1	34.2	28.1	22.0	184.6	307	3.4230	3.456	3.4230	3.563	na	80
44	AZ30Tnoac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_4	poor	30	Acid	15	10.7	14	10.4	10	12.4	9.7	13.4	13.9	81.5	84	88	 31.5   	 72.6   	 9.7   	 19.6   	0.10	0.10	0.07	22.1	22.1	18.7	22.0	84.0	785	3.4230	3.535	3.4230	3.525	na	80
45	BZ30Amyac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_4	poor	30	Acid	15.7	21.4	17	6.6	11.2	7.7	16.3	19.6	21	98.5	107	109	 9.7   	 94.9   	 9.7   	 43.3   	0.50	0.34	0.42	85.5	59.4	66.0	22.0	184.8	607	3.4230	3.585	3.4230	3.516	na	80
46	BZ30Anoac	B	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_4	poor	30	Acid	18	17.3	15.1	11	11	10.1	8.5	9	10.6	92.5	109	117	 9.7   	 41.0   	 9.7   	 22.4   	0.68	0.65	0.38	115.1	112.4	63.5	22.0	75.8	397	3.4230	3.572	3.4230	3.510	na	80
47	BZ30Tmyac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_4	poor	30	Acid	21.7	21.1	18.1	5.1	5	3.4	15.1	18.3	21.3	97	97	108	 9.7   	 79.2   	 9.7   	 33.0   	0.25	0.21	0.17	41.8	34.7	29.5	22.0	119.2	1027	3.4230	3.687	3.4230	3.785	na	80
48	BZ30Tnoac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_4	poor	30	Acid	15.8	16.2	18.9	8.6	11.5	15.7	8.5	13.3	14.4	62	73	80	 9.7   	 47.4   	 9.7   	 19.1   	0.14	0.08	0.08	18.1	30.1	17.9	22.0	92.6	489	3.4230	3.525	3.4230	3.504	na	80
49	CZ30Amyac	C	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_4	poor	30	Acid	18.4	21.6	16.9	10.8	11.5	6.9	9.9	11.4	11.9	96	105	111	 9.7   	 41.8   	 9.7   	 21.4   	0.78	0.60	0.37	126.9	95.9	65.4	22.0	93.6	1290	3.4230	3.727	3.4230	3.681	turbid	80
50	CZ30Anoac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_4	poor	30	Acid	17.8	17	22.2	3	16.3	14.9	8.7	9.9	11.8	83.5	108	111	 9.7   	 44.4   	 9.7   	 27.9   	0.63	0.40	0.39	115.1	76.5	74.4	22.0	105.8	615	3.4230	3.541	3.4230	3.587	na	80
51	CZ30Tmyac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_4	poor	30	Acid	23.8	19.2	18.6	13.5	10.6	12.1	12.8	20	23.8	73.5	85	100	 9.7   	 80.1   	 9.7   	 31.9   	0.17	0.18	0.14	30.9	29.9	23.4	22.0	141.8	362	3.4230	3.503	3.4230	3.621	na	80
52	CZ30Tnoac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_4	poor	30	Acid	14.4	17.5	16.5	4.6	8.8	7.6	12.5	18.1	20.2	89	129	134	 9.7   	 84.9   	 9.7   	 30.2   	0.13	0.13	0.13	26.4	21.8	24.9	22.0	151.8	942	3.4230	3.634	3.4230	3.637	na	80
53	DZ30Amyac	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_4	poor	30	Acid	18.1	16.8	17.7	6	10.8	12.7	12.8	14.2	16.6	87	122	126	 9.7   	 71.7   	 9.7   	 35.2   	0.51	0.43	0.29	71.0	57.7	44.0	22.0	140.8	703	3.4230	3.568	3.4230	3.563	na	80
54	DZ30Anoac	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_4	poor	30	Acid	15	19.3	15.8	15.1	10.6	12.8	14.4	18.3	18.9	67.5	86	97	 9.7   	 37.7   	 9.7   	 29.5   	0.48	0.42	0.32	85.5	76.1	57.3	22.0	113.4	1101	3.4230	3.742	3.4230	3.925	na	80
55	DZ30Tmyac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_4	poor	30	Acid	17	18.2	16.9	9.2	9.2	11.2	13.2	19.5	20.8	81.5	102	116	 9.7   	 78.0   	 9.7   	 23.2   	0.16	0.17	0.15	35.7	34.7	32.4	22.0	119.0	796	3.4230	3.510	3.4230	3.675	na	80
56	DZ30Tnoac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_4	poor	30	Acid	20.6	18.7	16	9.6	8.9	7.9	15.7	19	21.4	84	114	128	 9.7   	 66.1   	 9.7   	 26.6   	0.12	0.10	0.09	27.8	20.3	17.2	22.0	99.6	1404	3.4230	3.639	3.4230	3.904	turbid	80
57	EZ30Amyac	E	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_4	poor	30	Acid	15.1	16	22.7	11.6	9.9	4.9	10.3	14.3	14.6	96	129	130	 9.7   	 63.6   	 9.7   	 28.7   	0.41	0.36	0.39	76.8	67.2	70.7	22.0	98.6	890	3.4230	3.665	3.4230	3.613	turbid_prob	80
58	EZ30Anoac	E	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_4	poor	30	Acid	14.5	18.1	19.6	15.2	16.7	15.3	13.1	14.3	14.6	87	95	96	 31.5   	 76.2   	 9.7   	 23.4   	0.38	0.38	0.37	62.2	64.1	60.4	22.0	104.4	1590	3.4230	3.801	3.4230	3.849	na	80
59	EZ30Tmyac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_4	poor	30	Acid	18.9	18.2	22	10.6	7.7	6.6	14.4	19	21.5	74	89	110	 9.7   	 77.7   	 9.7   	 28.9   	0.17	0.13	0.11	30.4	26.1	23.8	22.0	141.4	449	3.4230	3.485	3.4230	3.873	na	80
60	EZ30Tnoac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_4	poor	30	Acid	20.1	15.5	19.9	13.8	12.3	10.7	9.7	15.1	16.5	67.5	76	77	 31.5   	 84.5   	 9.7   	 21.2   	0.11	0.10	0.09	24.0	19.8	18.2	22.0	78.2	1669	3.4230	3.673	3.4230	3.976	balls	80
61	AZ5Amyac	A	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_5	poor	5	Acid	21.9	21	16.8	11	13.1	14.8	10	10.1	10.9	116.5	125	127	 31.5   	 61.4   	 9.7   	 18.8   	0.54	0.49	0.42	99.4	91.6	82.7	22.0	80.6	918	3.4230	3.558	3.4230	3.546	na	80
62	AZ5Anoac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_5	poor	5	Acid	24.5	23.8	22	5	7.6	6	17.8	22.6	22.6	100	111	115	 31.5   	 74.6   	 9.7   	 36.1   	0.56	0.54	0.53	89.6	86.2	82.6	22.0	138.8	1202	3.4230	3.746	3.4230	3.771	turbid	80
63	AZ5Tmyac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_5	poor	5	Acid	15.7	19	17.9	8.3	4.1	8.4	12	16.7	19.4	92.5	88	115	 31.5   	 94.3   	 9.7   	 24.5   	0.16	0.12	0.11	29.9	21.3	22.6	22.0	79.4	1213	3.4230	3.752	3.4230	4.180	rootorder	80
64	AZ5Tnoac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_5	poor	5	Acid	13.5	11.2	18.4	8.1	5.2	8.8	14.2	19.8	20.5	83	94	96	 31.5   	 81.3   	 9.7   	 21.2   	0.18	0.17	0.14	40.8	35.3	31.0	22.0	70.8	918	3.4230	3.573	3.4230	3.615	na	80
65	BZ5Amyac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_5	poor	5	Acid	16.3	18.3	19	15	7.4	12.7	6.8	10.7	11.3	75	82	86	 9.7   	 38.6   	 9.7   	 23.6   	0.57	0.53	0.51	90.1	86.7	81.8	22.0	104.4	1081	3.4230	3.752	3.4230	3.582	na	80
66	BZ5Anoac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_5	poor	5	Acid	20.1	24.8	20.4	9.5	7.3	5.1	9.4	11.4	11.6	86.5	93	106	 9.7   	 73.5   	 9.7   	 32.2   	0.5540	0.62	0.68	83.1	95.1	110.0	22.0	100.4	790	3.4230	3.722	3.4230	3.621	na	80
67	BZ5Tmyac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_5	poor	5	Acid	21.4	22.2	23.1	8.6	9.3	7.7	13.2	20.4	21.3	69	111	120	 9.7   	 71.6   	 9.7   	 22.0   	0.1376	0.11	0.08	25.7	17.3	14.4	22.0	95.8	626	3.4230	3.510	3.4230	3.713	na	80
68	BZ5Tnoac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_5	poor	5	Acid	19.7	17.4	21.8	5.6	2.6	7.7	16.2	22.8	23	76.5	110	124	 9.7   	 84.9   	 9.7   	 25.9   	0.1378	0.12	0.11	22.5	21.5	22.0	22.0	111.0	1691	3.4230	3.753	3.4230	3.613	na	80
69	CZ5Amyac	C	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_5	poor	5	Acid	19.8	17.1	15.4	12	12.7	8.2	9.9	10.1	10.6	92	117	124	 9.7   	 35.0   	 9.7   	 19.0   	0.5395	0.28	0.56	96.2	54.8	96.8	22.0	78.4	569	3.4230	3.550	3.4230	3.736	na	80
70	CZ5Anoac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_5	poor	5	Acid	18.4	19.9	18.6	5.4	8.7	8	12.4	15.6	15.9	91.5	100	109	 9.7   	 62.4   	 9.7   	 35.0   	0.5706	0.64	0.57	78.7	88.4	76.7	22.0	155.0	972	3.4230	3.702	3.4230	3.823	balls	80
71	CZ5Tmyac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_5	poor	5	Acid	16.2	20.2	16.3	8	8.5	6.8	11.5	20.3	20.9	94.5	96	105	 9.7   	 61.3   	 9.7   	 22.4   	0.1256	0.12	0.10	21.4	22.2	17.7	22.0	89.4	1581	3.4230	3.706	3.4230	3.818	na	80
72	CZ5Tnoac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_5	poor	5	Acid	19.5	21.8	22.4	6.2	3.1	5.5	13.1	14.8	17.4	71	76	84	 9.7   	 63.6   	 9.7   	 25.9   	0.0972	0.09	0.09	23.5	19.1	19.2	22.0	140.8	830	3.4230	3.584	3.4230	3.876	na	80
73	DZ5Amyac	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_5	poor	5	Acid	19.9	15.3	18.5	7.7	11.7	7.6	10.9	15.1	17.7	64	86	87	 9.7   	 44.9   	 9.7   	 28.0   	0.2369	0.70	0.43	42.2	105.2	68.3	22.0	99.6	981	3.4230	3.627	3.4230	3.704	na	80
